Date,Open,High,Low,Close,Volume
1989-11-30,6.26973,6.66568,5.86611,6.25333,49775549.23894
1989-12-31,6.26973,6.26973,5.52074,6.16907,37043506.986687
1990-01-31,6.13519,6.30332,5.40279,5.60481,34888554.034376
1990-02-28,5.63829,6.06802,5.43687,5.98386,27413224.71754
1990-03-31,5.93349,6.25333,5.09189,5.21788,52955215.687395
1990-04-30,5.1843,5.21788,4.5618,5.11693,31095752.726289
1990-05-31,5.11693,5.41173,4.99065,5.25982,37939420.136848
1990-06-30,5.2935,6.00891,4.95706,5.09189,35313931.72602
1990-07-31,5.09189,5.22662,4.5618,4.8728,29541083.620711
1990-08-31,4.83912,4.83912,4.07305,4.47744,25128472.461746
1990-09-30,4.51074,4.54461,2.4742,2.92879,39681830.117529
1990-10-31,3.01285,3.08866,2.31423,2.36471,57549342.82116
1990-11-30,2.38181,3.56818,2.36471,3.29891,70399261.040127
1990-12-31,3.3326,3.8292,3.13895,3.18961,45154786.293421
1991-01-31,3.2067,4.0649,2.99595,3.92191,29330058.176598
1991-02-28,3.93831,4.65391,3.85435,4.07305,32970750.130365
1991-03-31,4.09858,5.00734,4.02286,4.88134,47044052.191374
1991-04-30,4.84766,5.69721,4.83068,5.20109,25506356.394156
1991-05-31,5.1843,6.00891,4.97395,5.94163,51109197.215571
1991-06-30,5.92494,6.08453,5.04976,5.08305,26850468.476059
1991-07-31,5.12499,5.51239,4.82272,4.94861,59744239.817204
1991-08-31,4.94861,5.65538,4.90668,5.54599,63630198.749132
1991-09-30,5.54599,5.57162,5.06665,5.11693,24115664.99118
1991-10-31,5.11693,5.51239,4.73817,5.36932,53190485.962417
1991-11-30,5.36932,5.62218,4.8728,4.94037,36440360.683752
1991-12-31,4.94037,5.95872,4.88134,5.89951,41207016.22973
1992-01-31,5.86611,6.75809,5.75653,6.37922,65419184.995969
1992-02-29,6.30332,6.98484,6.27847,6.90079,53854008.604947
1992-03-31,6.85884,7.02717,6.42155,6.66568,52387243.686163
1992-04-30,6.55629,7.30498,6.31206,6.98484,52528882.82538
1992-05-31,6.9597,7.27965,6.73296,6.80857,38287339.417475
1992-06-30,6.80857,7.02717,6.53085,7.02717,56519402.363907
1992-07-31,7.0525,7.3807,6.45514,6.78303,53574526.568677
1992-08-31,6.76654,6.98484,6.31206,6.37922,122314071.14669
1992-09-30,6.36243,6.71577,6.31206,6.59811,60987123.187451
1992-10-31,6.58957,7.03591,6.19432,6.88418,44977503.413758
1992-11-30,6.85884,7.59114,6.85884,7.55785,43177578.531378
1992-12-31,7.55785,8.01174,7.42272,7.70054,234443164.68752
1993-01-31,7.74257,8.1723,7.42272,8.06251,47093969.517223
1993-02-28,8.04562,8.44276,7.42272,8.02913,43038798.793447
1993-03-31,8.01174,8.75886,8.01174,8.25499,49342534.25754
1993-04-30,8.25499,8.74424,6.98484,7.49883,73763354.798236
1993-05-31,7.48175,7.75141,6.79992,7.18704,78468701.236963
1993-06-30,7.162,7.63337,6.90079,7.55785,72691559.956506
1993-07-31,7.54076,7.97854,7.34702,7.6752,51942376.649366
1993-08-31,7.63337,8.1723,7.61657,7.91089,54489923.972465
1993-09-30,7.8775,8.16415,7.4734,7.91089,78086086.258125
1993-10-31,7.91089,8.18007,7.06969,7.17054,87063818.124359
1993-11-30,7.17054,7.39729,6.83381,7.30498,109493136.9515
1993-12-31,7.33875,7.76801,7.22907,7.59968,56267030.669662
1994-01-31,7.5829,7.88575,7.39729,7.86876,68045137.754015
1994-02-28,7.82703,7.86876,7.33875,7.65016,52246081.113828
1994-03-31,7.60793,7.62443,6.94321,7.162,91199290.367552
1994-04-30,7.00212,8.35938,6.96834,8.1723,115527897.25342
1994-05-31,8.29859,8.80051,8.02049,8.73589,73952991.757809
1994-06-30,8.72028,9.05681,8.01174,8.10465,64242372.328559
1994-07-31,8.08786,8.80992,8.08786,8.80051,40965602.518827
1994-08-31,8.80051,8.91354,8.58446,8.87062,60703845.927325
1994-09-30,8.82524,8.85314,7.49883,7.80149,92015851.058836
1994-10-31,7.80149,8.07949,7.39729,7.8775,76794735.628777
1994-11-30,7.8607,7.96166,6.94321,7.22101,81030501.779359
1994-12-31,7.22101,7.5829,6.97668,7.2545,86579032.501461
1995-01-31,7.2545,7.86876,7.17889,7.49883,70562757.084321
1995-02-28,7.52368,8.30733,7.39729,8.10465,61231409.537607
1995-03-31,8.12114,8.4077,7.8607,8.24635,78839912.214737
1995-04-30,8.24635,8.63612,8.06251,8.12114,74096999.475155
